<Comprimento de Onda>	<Intensidade>
485.74	0.481
485.95	0.493
486.16	0.491
486.37	0.494
486.58	0.478
486.78	0.486
486.99	0.486
487.20	0.490
487.41	0.481
487.62	0.490
487.83	0.493
488.04	0.506
488.25	0.487
488.46	0.479
488.67	0.488
488.88	0.478
489.09	0.484
489.30	0.480
489.51	0.478
489.72	0.490
489.93	0.476
490.14	0.475
490.35	0.485
490.55	0.483
490.76	0.480
490.97	0.493
491.18	0.476
491.39	0.487
491.60	0.489
491.81	0.494
492.02	0.484
492.23	0.481
492.44	0.481
492.65	0.487
492.86	0.485
493.07	0.490
493.27	0.485
493.48	0.486
493.69	0.487
493.90	0.482
494.11	0.489
494.32	0.488
494.53	0.483
494.74	0.490
494.95	0.484
495.16	0.475
495.37	0.485
495.57	0.489
495.78	0.490
495.99	0.481
496.20	0.485
496.41	0.486
496.62	0.478
496.83	0.480
497.04	0.480
497.25	0.485
497.46	0.489
497.66	0.492
497.87	0.487
498.08	0.494
498.29	0.484
498.50	0.490
498.71	0.490
498.92	0.483
499.13	0.494
499.33	0.490
499.54	0.498
499.75	0.482
499.96	0.496
500.17	0.484
500.38	0.493
500.59	0.494
500.80	0.489
501.00	0.491
501.21	0.496
501.42	0.493
501.63	0.494
501.84	0.490
502.05	0.495
502.26	0.501
502.47	0.495
502.67	0.505
502.88	0.501
503.09	0.497
503.30	0.499
503.51	0.505
503.72	0.504
503.92	0.503
504.13	0.501
504.34	0.506
504.55	0.501
504.76	0.506
504.97	0.494
505.18	0.507
505.38	0.503
505.59	0.504
505.80	0.514
506.01	0.505
506.22	0.508
506.43	0.513
506.63	0.511
506.84	0.500
507.05	0.513
507.26	0.512
507.47	0.505
507.68	0.514
507.88	0.511
508.09	0.509
508.30	0.512
508.51	0.496
508.72	0.509
508.92	0.513
509.13	0.519
509.34	0.519
509.55	0.522
509.76	0.526
509.97	0.518
510.17	0.521
510.38	0.517
510.59	0.527
510.80	0.520
511.01	0.524
511.21	0.520
511.42	0.528
511.63	0.522
511.84	0.522
512.05	0.524
512.25	0.536
512.46	0.526
512.67	0.528
512.88	0.537
513.09	0.538
513.29	0.539
513.50	0.539
513.71	0.540
513.92	0.545
514.12	0.533
514.33	0.531
514.54	0.529
514.75	0.535
514.96	0.533
515.16	0.538
515.37	0.537
515.58	0.538
515.79	0.531
515.99	0.541
516.20	0.537
516.41	0.544
516.62	0.547
516.83	0.542
517.03	0.543
517.24	0.546
517.45	0.551
517.66	0.549
517.86	0.565
518.07	0.551
518.28	0.544
518.49	0.554
518.69	0.555
518.90	0.553
519.11	0.547
519.32	0.571
519.52	0.561
519.73	0.557
519.94	0.554
520.15	0.556
520.35	0.555
520.56	0.560
520.77	0.556
520.98	0.563
521.18	0.562
521.39	0.558
521.60	0.565
521.81	0.564
522.01	0.575
522.22	0.564
522.43	0.561
522.63	0.574
522.84	0.567
523.05	0.563
523.26	0.577
523.46	0.580
523.67	0.570
523.88	0.571
524.09	0.585
524.29	0.575
524.50	0.575
524.71	0.584
524.91	0.563
525.12	0.579
525.33	0.573
525.54	0.581
525.74	0.579
525.95	0.585
526.16	0.592
526.36	0.590
526.57	0.577
526.78	0.583
526.98	0.591
527.19	0.583
527.40	0.589
527.61	0.589
527.81	0.592
528.02	0.583
528.23	0.598
528.43	0.592
528.64	0.587
528.85	0.588
529.05	0.598
529.26	0.598
529.47	0.602
529.67	0.603
529.88	0.593
530.09	0.596
530.30	0.603
530.50	0.604
530.71	0.604
530.92	0.608
531.12	0.599
531.33	0.614
531.54	0.607
531.74	0.602
531.95	0.612
532.16	0.595
532.36	0.605
532.57	0.606
532.78	0.610
532.98	0.616
533.19	0.606
533.40	0.610
533.60	0.616
533.81	0.615
534.02	0.623
534.22	0.615
534.43	0.610
534.64	0.616
534.84	0.618
535.05	0.623
535.25	0.627
535.46	0.610
535.67	0.627
535.87	0.612
536.08	0.636
536.29	0.627
536.49	0.628
536.70	0.623
536.91	0.643
537.11	0.618
537.32	0.630
537.52	0.624
537.73	0.617
537.94	0.624
538.14	0.636
538.35	0.628
538.56	0.636
538.76	0.635
538.97	0.622
539.18	0.641
539.38	0.645
539.59	0.629
539.79	0.638
540.00	0.632
540.21	0.639
540.41	0.649
540.62	0.645
540.82	0.639
541.03	0.648
541.24	0.639
541.44	0.641
541.65	0.647
541.85	0.649
542.06	0.651
542.27	0.649
542.47	0.648
542.68	0.638
542.88	0.653
543.09	0.663
543.30	0.650
543.50	0.641
543.71	0.643
543.91	0.649
544.12	0.649
544.33	0.654
544.53	0.651
544.74	0.656
544.94	0.645
545.15	0.657
545.36	0.658
545.56	0.659
545.77	0.657
545.97	0.657
546.18	0.656
546.38	0.656
546.59	0.665
546.80	0.668
547.00	0.658
547.21	0.669
547.41	0.659
547.62	0.651
547.82	0.653
548.03	0.679
548.24	0.656
548.44	0.672
548.65	0.667
548.85	0.669
549.06	0.661
549.26	0.675
549.47	0.657
549.67	0.667
549.88	0.675
550.09	0.681
550.29	0.664
550.50	0.676
550.70	0.672
550.91	0.686
551.11	0.670
551.32	0.673
551.52	0.672
551.73	0.682
551.93	0.676
552.14	0.680
552.35	0.676
552.55	0.678
552.76	0.679
552.96	0.684
553.17	0.680
553.37	0.679
553.58	0.679
553.78	0.686
553.99	0.679
554.19	0.683
554.40	0.679
554.60	0.688
554.81	0.683
555.01	0.676
555.22	0.676
555.42	0.696
555.63	0.689
555.83	0.684
556.04	0.678
556.24	0.683
556.45	0.695
556.65	0.681
556.86	0.682
557.06	0.697
557.27	0.685
557.47	0.684
557.68	0.685
557.88	0.695
558.09	0.689
558.29	0.691
558.50	0.682
558.70	0.691
558.91	0.688
559.11	0.693
559.32	0.694
559.52	0.690
559.73	0.685
559.93	0.696
560.14	0.688
560.34	0.696
560.55	0.694
560.75	0.707
560.96	0.690
561.16	0.702
561.37	0.686
561.57	0.699
561.78	0.685
561.98	0.698
562.19	0.691
562.39	0.693
562.60	0.695
562.80	0.700
563.00	0.687
563.21	0.702
563.41	0.688
563.62	0.707
563.82	0.688
564.03	0.691
564.23	0.696
564.44	0.700
564.64	0.702
564.85	0.699
565.05	0.693
565.26	0.697
565.46	0.700
565.66	0.699
565.87	0.698
566.07	0.689
566.28	0.690
566.48	0.699
566.69	0.691
566.89	0.700
567.09	0.698
567.30	0.709
567.50	0.696
567.71	0.711
567.91	0.692
568.12	0.711
568.32	0.690
568.53	0.706
568.73	0.693
568.93	0.707
569.14	0.697
569.34	0.700
569.55	0.696
569.75	0.709
569.95	0.701
570.16	0.705
570.36	0.710
570.57	0.714
570.77	0.702
570.98	0.699
571.18	0.702
571.38	0.707
571.59	0.698
571.79	0.715
572.00	0.700
572.20	0.705
572.40	0.705
572.61	0.706
572.81	0.704
573.02	0.702
573.22	0.697
573.42	0.713
573.63	0.705
573.83	0.713
574.04	0.704
574.24	0.705
574.44	0.699
574.65	0.696
574.85	0.699
575.05	0.714
575.26	0.699
575.46	0.711
575.67	0.690
575.87	0.697
576.07	0.701
576.28	0.700
576.48	0.700
576.68	0.711
576.89	0.695
577.09	0.694
577.30	0.695
577.50	0.709
577.70	0.693
577.91	0.731
578.11	0.711
578.31	0.698
578.52	0.717
578.72	0.704
578.92	0.697
579.13	0.702
579.33	0.701
579.54	0.710
579.74	0.697
579.94	0.707
580.15	0.710
580.35	0.702
580.55	0.707
580.76	0.697
580.96	0.698
581.16	0.703
581.37	0.697
581.57	0.702
581.77	0.700
581.98	0.707
582.18	0.705
582.38	0.711
582.59	0.701
582.79	0.719
582.99	0.707
583.20	0.715
583.40	0.700
583.60	0.703
583.81	0.691
584.01	0.715
584.21	0.695
584.42	0.710
584.62	0.702
584.82	0.708
585.03	0.700
585.23	0.697
585.43	0.697
585.63	0.718
585.84	0.700
586.04	0.703
586.24	0.707
586.45	0.706
586.65	0.704
586.85	0.693
587.06	0.701
587.26	0.700
587.46	0.697
587.66	0.698
587.87	0.703
588.07	0.709
588.27	0.699
588.48	0.709
588.68	0.691
588.88	0.703
589.09	0.692
589.29	0.708
589.49	0.699
589.69	0.695
589.90	0.702
590.10	0.695
590.30	0.699
590.50	0.704
590.71	0.689
590.91	0.702
591.11	0.700
591.32	0.704
591.52	0.686
591.72	0.704
591.92	0.697
592.13	0.693
592.33	0.685
592.53	0.702
592.73	0.692
592.94	0.707
593.14	0.688
593.34	0.690
593.54	0.690
593.75	0.698
593.95	0.701
594.15	0.699
594.35	0.689
594.56	0.695
594.76	0.682
594.96	0.698
595.16	0.677
595.37	0.693
595.57	0.690
595.77	0.689
595.97	0.687
596.18	0.688
596.38	0.691
596.58	0.699
596.78	0.682
596.99	0.692
597.19	0.692
597.39	0.689
597.59	0.678
597.80	0.693
598.00	0.692
598.20	0.685
598.40	0.681
598.60	0.692
598.81	0.688
599.01	0.689
599.21	0.688
599.41	0.686
599.61	0.689
599.82	0.689
600.02	0.679
600.22	0.685
600.42	0.681
600.63	0.681
600.83	0.682
601.03	0.684
601.23	0.681
601.43	0.687
601.64	0.672
601.84	0.700
602.04	0.677
602.24	0.687
602.44	0.684
602.65	0.685
602.85	0.676
603.05	0.697
603.25	0.689
